                                                                     bytes_in       bytes_out
apsd.584                                                                 8124           63183
   tcp4 192.168.1.39:52480<->17.242.218.132:5223                         8124           63183
mDNSResponder.680                                                    11071438         7518420
   udp4 *:57477<->*:*                                                       0           15048
   udp4 *:62951<->*:*                                                       0           14652
   udp4 *:55462<->*:*                                                       0           22968
   udp4 *:63164<->*:*                                                       0           22515
   udp4 *:65518<->*:*                                                       0           14744
   udp4 *:59217<->*:*                                                       0           14356
   udp4 *:64490<->*:*                                                       0           22504
   udp4 *:55014<->*:*                                                       0           22059
   udp4 *:59599<->*:*                                                       0           36898
   udp4 *:52728<->*:*                                                       0           56318
   udp4 *:64228<->*:*                                                       0           37544
   udp4 *:53569<->*:*                                                       0           57304
   udp6 *.5353<->*.*                                                  4414450         3553528
   udp4 *:5353<->*:*                                                  6656988         3627982
accountsd.1009                                                           6703            4512
   tcp4 192.168.1.39:52998<->172.217.115.4:443                           6703            4512
Google Chrome H.23649                                                 3091824         2053789
   tcp4 192.168.1.39:50350<->142.251.157.119:443                         4042            3396
   tcp4 192.168.1.39:50348<->172.217.21.202:443                          2974            4762
   tcp4 192.168.1.39:50344<->172.66.0.227:443                            2599            5908
   tcp4 192.168.1.39:50343<->146.75.121.91:443                           2577            5128
   tcp4 192.168.1.39:50326<->142.250.181.170:443                        15500            8939
   tcp4 192.168.1.39:50285<->146.75.121.91:443                           2780            4162
   tcp4 192.168.1.39:50198<->140.82.112.26:443                           4683            5825
   tcp4 192.168.1.39:64494<->172.253.154.188:5228                        7199            2508
   udp4 192.168.1.39:55709<->104.17.111.184:443                       1619332         1886104
   udp4 192.168.1.39:59681<->172.64.146.215:443                         62304           90081
   udp4 *:53267<->*:*                                                     416             260
   udp6 *.5353<->*.*                                                    10181            9179
   udp6 *.5353<->*.*                                                        0            9179
   udp6 *.5353<->*.*                                                   634808            9179
   udp4 *:5353<->*:*                                                   722429            9179
WhatsApp.28474                                                          24851           21170
   tcp4 192.168.1.39:52986<->157.240.14.53:5222                         17069            8576
   udp4 *:61571<->*:*                                                    7782           12594
netbiosd.29013                                                          65746           33568
   udp4 *:137<->*:*                                                     59911           32302
   udp4 *:138<->*:*                                                      5835            1266
Claude Helper.33940                                                   2566790         5114107
   tcp4 192.168.1.39:50330<->160.79.104.10:443                           9807            2670
   tcp4 192.168.1.39:49625<->160.79.104.10:443                          14437          131465
   tcp4 192.168.1.39:49225<->160.79.104.10:443                          26430         1894374
   tcp4 192.168.1.39:65409<->160.79.104.10:443                        2516116         3085598
claude.39550                                                          1002247         4618946
   tcp4 192.168.1.39:50331<->34.149.66.165:443                           8131          404852
   tcp4 192.168.1.39:50278<->160.79.104.10:443                         381984         1389982
   tcp4 192.168.1.39:50269<->160.79.104.10:443                         111276          617527
   tcp4 192.168.1.39:50268<->160.79.104.10:443                         500856         2206585
